suburb,postcode,lat,lon,total_patient,population,age
ABBOTSBURY,2176,-33.877538,150.867768,18,4242,40 to 59
ABBOTSFORD,2046,-33.852469,151.129453,14,5366,40 to 59
ACACIA GARDENS,2763,-33.730077,150.906502,17,3786,20 to 39
AGNES BANKS,2753,-33.618877,150.707372,5,919,40 to 59
AIRDS,2560,-34.084468,150.829041,19,2939,5 to 19
ALEXANDRIA,2015,-33.897571,151.195567,11,8266,20 to 39
ALFORDS POINT,2234,-33.993303,151.024751,20,3093,40 to 59
ALLAMBIE HEIGHTS,2100,-33.765076,151.248864,11,7001,40 to 59
ALLAWAH,2218,-33.970018,151.114517,12,5729,20 to 39
AMBARVALE,2560,-34.080467,150.803644,19,7358,20 to 39
ANNANDALE,2038,-33.881435,151.170681,4,9459,20 to 39
ANNANGROVE,2156,-33.657772,150.943505,3,1403,40 to 59
ARCADIA,2159,-33.623101,151.052726,3,1373,40 to 59
ARNCLIFFE,2205,-33.936592,151.146805,8,10593,20 to 39
ARNDELL PARK,2148,-33.787266,150.871959,34,30,20 to 39
ARTARMON,2064,-33.807664,151.189662,5,9527,20 to 39
ASHBURY,2193,-33.901897,151.11932,10,3343,40 to 59
ASHCROFT,2168,-33.917587,150.899095,13,3584,20 to 39
ASHFIELD,2131,-33.889498,151.127444,13,23832,20 to 39
ASQUITH,2077,-33.687484,151.108685,22,3366,40 to 59
AUBURN,2144,-33.849322,151.033421,6,37373,20 to 39
AUSTRAL,2179,-33.933109,150.812031,1,3033,60+
AVALON BEACH,2107,-33.636325,151.330596,6,9906,40 to 59
BADGERYS CREEK,2555,-33.883376,150.741351,0,233,20 to 39
BALGOWLAH,2093,-33.794121,151.26268,12,7980,40 to 59
BALGOWLAH HEIGHTS,2093,-33.800553,151.257401,12,3350,40 to 59
BALMAIN,2041,-33.856498,151.178009,9,10456,40 to 59
BALMAIN EAST,2041,-33.857833,151.190598,9,1934,40 to 59
BANGOR,2234,-34.018876,151.030057,20,5575,40 to 59
BANKSIA,2216,-33.945237,151.140161,13,3380,20 to 39
BANKSMEADOW,2019,-33.95742,151.206715,6,18,60+
BANKSTOWN,2200,-33.919539,151.034909,13,32116,20 to 39
BANKSTOWN AERODROME,2200,-33.920032,150.995041,13,32116,20 to 39
BARDEN RIDGE,2234,-34.032851,151.005396,20,4312,40 to 59
BARDWELL PARK,2207,-33.93207,151.125594,10,2241,40 to 59
BARDWELL VALLEY,2207,-33.935083,151.134686,10,2328,40 to 59
BASS HILL,2197,-33.900608,150.992888,4,9071,20 to 39
BAULKHAM HILLS,2153,-33.758601,150.992887,15,37045,40 to 59
BAYVIEW,2104,-33.66445,151.298945,2,3624,60+
BEACON HILL,2100,-33.752406,151.261272,11,7451,40 to 59
BEACONSFIELD,2015,-33.911613,151.20189,11,978,20 to 39
BEAUMONT HILLS,2155,-33.703416,150.946875,25,9052,40 to 59
BEECROFT,2119,-33.749498,151.064533,9,9392,40 to 59
BELFIELD,2191,-33.902107,151.083553,5,6318,40 to 59
BELLA VISTA,2153,-33.737345,150.95501,15,7823,40 to 59
BELLEVUE HILL,2023,-33.887189,151.258935,35,10709,20 to 39
BELMORE,2192,-33.916035,151.0875,5,12720,20 to 39
BELROSE,2085,-33.739288,151.211439,4,8781,60+
BERALA,2141,-33.871904,151.031033,7,9026,20 to 39
BERKSHIRE PARK,2765,-33.672237,150.79576,7,2138,20 to 39
BEROWRA,2081,-33.623581,151.150117,2,4727,40 to 59
BEROWRA HEIGHTS,2082,-33.610968,151.136829,0,5272,40 to 59
BEROWRA WATERS,2082,-33.601653,151.11837,0,135,60+
BERRILEE,2159,-33.61497,151.095573,3,236,40 to 59
BEVERLEY PARK,2217,-33.975135,151.131345,10,2392,40 to 59
BEVERLY HILLS,2209,-33.954218,151.076364,12,10167,20 to 39
BEXLEY,2207,-33.949135,151.12721,10,19722,20 to 39
BEXLEY NORTH,2207,-33.938306,151.114186,10,4096,40 to 59
BICKLEY VALE,2570,-34.070905,150.666238,16,446,60+
BIDWILL,2770,-33.73024,150.822765,12,4281,5 to 19
BIRCHGROVE,2041,-33.853386,151.180609,9,3302,40 to 59
BIRRONG,2143,-33.89022,151.022398,0,3109,20 to 39
BLACKETT,2770,-33.738507,150.811206,12,3452,20 to 39
BLACKTOWN,2148,-33.770184,150.908501,34,47175,20 to 39
BLAIR ATHOL,2560,-34.063835,150.806007,19,2886,20 to 39
BLAIRMOUNT,2559,-34.049485,150.799611,0,422,20 to 39
BLAKEHURST,2221,-33.988743,151.112314,2,6213,40 to 59
BLIGH PARK,2756,-33.63765,150.79458,12,6362,20 to 39
BONDI,2026,-33.893739,151.262502,113,10043,20 to 39
BONDI BEACH,2026,-33.890542,151.274856,113,11659,20 to 39
