suburb,postcode,lat,lon,total_patient,population,age,AM
ABBOTSBURY,2176,-33.877538,150.86776799999998,18,4242,mid-age,49
ABBOTSFORD,2046,-33.852469,151.129453,14,5366,mid-age,49
ACACIA GARDENS,2763,-33.730077,150.906502,17,3786,adult,29
AGNES BANKS,2753,-33.618877000000005,150.707372,5,919,mid-age,49
AIRDS,2560,-34.084468,150.829041,19,2939,young,9
ALEXANDRIA,2015,-33.897571,151.19556699999998,11,8266,adult,29
ALFORDS POINT,2234,-33.993303000000004,151.024751,20,3093,mid-age,49
ALLAMBIE HEIGHTS,2100,-33.765076,151.248864,11,7001,mid-age,49
ALLAWAH,2218,-33.970017999999996,151.114517,12,5729,adult,29
AMBARVALE,2560,-34.080467,150.803644,19,7358,adult,29
ANNANDALE,2038,-33.881434999999996,151.170681,4,9459,adult,29
ANNANGROVE,2156,-33.657771999999994,150.94350500000002,3,1403,mid-age,49
ARCADIA,2159,-33.623101,151.052726,3,1373,mid-age,49
ARNCLIFFE,2205,-33.936592,151.146805,8,10593,adult,29
ARNDELL PARK,2148,-33.787265999999995,150.871959,34,30,adult,29
ARTARMON,2064,-33.807664,151.189662,5,9527,adult,29
ASHBURY,2193,-33.901897,151.11932,10,3343,mid-age,49
ASHCROFT,2168,-33.917587,150.899095,13,3584,adult,29
ASHFIELD,2131,-33.889497999999996,151.127444,13,23832,adult,29
ASQUITH,2077,-33.687484000000005,151.108685,22,3366,mid-age,49
AUBURN,2144,-33.849321999999994,151.033421,6,37373,adult,29
AUSTRAL,2179,-33.933109,150.81203100000002,1,3033,senior+,69
AVALON BEACH,2107,-33.636325,151.33059599999999,6,9906,mid-age,49
BADGERYS CREEK,2555,-33.883376,150.741351,0,233,adult,29
BALGOWLAH,2093,-33.794121000000004,151.26268000000002,12,7980,mid-age,49
BALGOWLAH HEIGHTS,2093,-33.800553,151.257401,12,3350,mid-age,49
BALMAIN,2041,-33.856497999999995,151.178009,9,10456,mid-age,49
BALMAIN EAST,2041,-33.857833,151.190598,9,1934,mid-age,49
BANGOR,2234,-34.018876,151.030057,20,5575,mid-age,49
BANKSIA,2216,-33.945237,151.140161,13,3380,adult,29
BANKSMEADOW,2019,-33.95742,151.206715,6,18,senior+,69
BANKSTOWN,2200,-33.919539,151.034909,13,32116,adult,29
BANKSTOWN AERODROME,2200,-33.920032,150.995041,13,32116,adult,29
BARDEN RIDGE,2234,-34.032851,151.005396,20,4312,mid-age,49
BARDWELL PARK,2207,-33.93207,151.125594,10,2241,mid-age,49
BARDWELL VALLEY,2207,-33.935083,151.13468600000002,10,2328,mid-age,49
BASS HILL,2197,-33.900608,150.992888,4,9071,adult,29
BAULKHAM HILLS,2153,-33.758601,150.99288700000002,15,37045,mid-age,49
BAYVIEW,2104,-33.66445,151.298945,2,3624,senior+,69
BEACON HILL,2100,-33.752406,151.261272,11,7451,mid-age,49
BEACONSFIELD,2015,-33.911613,151.20189,11,978,adult,29
BEAUMONT HILLS,2155,-33.703416,150.946875,25,9052,mid-age,49
BEECROFT,2119,-33.749497999999996,151.064533,9,9392,mid-age,49
BELFIELD,2191,-33.902107,151.083553,5,6318,mid-age,49
BELLA VISTA,2153,-33.737345,150.95501000000002,15,7823,mid-age,49
BELLEVUE HILL,2023,-33.887189,151.258935,35,10709,adult,29
BELMORE,2192,-33.916035,151.0875,5,12720,adult,29
BELROSE,2085,-33.739288,151.21143899999998,4,8781,senior+,69
BERALA,2141,-33.871904,151.031033,7,9026,adult,29
BERKSHIRE PARK,2765,-33.672237,150.79576,7,2138,adult,29
BEROWRA,2081,-33.623581,151.150117,2,4727,mid-age,49
BEROWRA HEIGHTS,2082,-33.610968,151.136829,0,5272,mid-age,49
BEROWRA WATERS,2082,-33.601653000000006,151.11837,0,135,senior+,69
BERRILEE,2159,-33.61497,151.095573,3,236,mid-age,49
BEVERLEY PARK,2217,-33.975134999999995,151.13134499999998,10,2392,mid-age,49
BEVERLY HILLS,2209,-33.954218,151.07636399999998,12,10167,adult,29
BEXLEY,2207,-33.949135,151.12721000000002,10,19722,adult,29
BEXLEY NORTH,2207,-33.938306,151.11418600000002,10,4096,mid-age,49
BICKLEY VALE,2570,-34.070904999999996,150.666238,16,446,senior+,69
BIDWILL,2770,-33.73024,150.822765,12,4281,young,9
BIRCHGROVE,2041,-33.853386,151.180609,9,3302,mid-age,49
BIRRONG,2143,-33.89022,151.022398,0,3109,adult,29
BLACKETT,2770,-33.738507,150.811206,12,3452,adult,29
BLACKTOWN,2148,-33.770184,150.908501,34,47175,adult,29
BLAIR ATHOL,2560,-34.063835,150.806007,19,2886,adult,29
BLAIRMOUNT,2559,-34.049485,150.799611,0,422,adult,29
BLAKEHURST,2221,-33.988743,151.112314,2,6213,mid-age,49
BLIGH PARK,2756,-33.63765,150.79458,12,6362,adult,29
BONDI,2026,-33.893739000000004,151.262502,113,10043,adult,29
BONDI BEACH,2026,-33.890541999999996,151.274856,113,11659,adult,29
BONDI JUNCTION,2022,-33.892324,151.24733,37,9464,adult,29
BONNET BAY,2226,-34.009518,151.054252,2,2266,mid-age,49
BONNYRIGG,2177,-33.888801,150.886505,2,8670,adult,29
BONNYRIGG HEIGHTS,2177,-33.892666999999996,150.868448,2,7310,mid-age,49
BOSSLEY PARK,2176,-33.86626,150.88415,18,14594,mid-age,49
BOTANY,2019,-33.94477,151.196528,6,10823,adult,29
BOW BOWING,2566,-34.015342,150.83682,4,1590,mid-age,49
BOX HILL,2765,-33.639115000000004,150.904697,7,905,senior+,69
BRADBURY,2560,-34.086006,150.81401599999998,19,8798,adult,29
BREAKFAST POINT,2137,-33.841583,151.107502,10,4208,adult,29
BRINGELLY,2556,-33.945707,150.725207,0,2511,mid-age,49
BRONTE,2024,-33.902328000000004,151.263838,17,6718,adult,29
BROOKLYN,2083,-33.548006,151.22519,0,715,mid-age,49
BROOKVALE,2100,-33.766628999999995,151.273824,11,3176,adult,29
BUNDEENA,2230,-34.085064,151.151259,25,1918,mid-age,49
BURRANEER,2230,-34.065063,151.137171,25,3590,mid-age,49
BURWOOD,2134,-33.877423,151.10368200000002,5,16011,adult,29
BURWOOD HEIGHTS,2136,-33.888328,151.10341200000002,0,989,adult,29
BUSBY,2168,-33.910896,150.875155,13,4306,adult,29
CABARITA,2137,-33.849081,151.113765,10,1973,senior+,69
CABRAMATTA,2166,-33.895070000000004,150.935889,4,21803,adult,29
CABRAMATTA WEST,2166,-33.899136,150.91751399999998,4,7237,mid-age,49
CAMBRIDGE GARDENS,2747,-33.735558000000005,150.72171200000003,50,2029,adult,29
CAMBRIDGE PARK,2747,-33.75152,150.725439,50,6716,adult,29
CAMDEN,2570,-34.054598999999996,150.69567800000002,16,3221,senior+,69
CAMDEN SOUTH,2570,-34.08748,150.695074,16,4524,adult,29
CAMELLIA,2142,-33.816872,151.022191,7,2637,adult,29
CAMMERAY,2062,-33.821953,151.21043,8,7017,adult,29
CAMPBELLTOWN,2560,-34.067440999999995,150.812522,19,12561,adult,29
CAMPERDOWN,2050,-33.888659999999994,151.177188,5,10352,adult,29
CAMPSIE,2194,-33.914373,151.103465,4,24539,adult,29
CANADA BAY,2046,-33.863194,151.116398,14,1255,mid-age,49
CANLEY HEIGHTS,2166,-33.883633,150.923895,4,10971,mid-age,49
CANLEY VALE,2166,-33.887291,150.943275,4,10214,adult,29
CANOELANDS,2157,-33.508714000000005,151.061148,0,179,mid-age,49
CANTERBURY,2193,-33.910848,151.12114499999998,10,7240,adult,29
CARINGBAH,2229,-34.04316,151.123102,15,11672,adult,29
CARLINGFORD,2118,-33.782959000000005,151.047707,9,24401,mid-age,49
CARLTON,2218,-33.968523,151.124528,12,10731,adult,29
CARRAMAR,2163,-33.884558,150.961884,7,3547,adult,29
CARSS PARK,2221,-33.986556,151.11904099999998,2,1259,mid-age,49
CARTWRIGHT,2168,-33.926577,150.890356,13,2386,mid-age,49
CASTLE COVE,2069,-33.784165,151.199948,6,2552,mid-age,49
CASTLE HILL,2154,-33.732307,151.005616,4,39610,mid-age,49
CASTLECRAG,2068,-33.802403000000005,151.21264299999999,15,2944,mid-age,49
CASTLEREAGH,2749,-33.668796,150.67655,10,1164,mid-age,49
CASULA,2170,-33.94735,150.907753,22,15667,adult,29
CATHERINE FIELD,2557,-33.993545000000005,150.774858,5,1669,mid-age,49
CATTAI,2756,-33.555841,150.909515,12,801,mid-age,49
CAWDOR,2570,-34.108691,150.671985,16,432,mid-age,49
CECIL HILLS,2171,-33.883696,150.853171,12,7021,mid-age,49
CECIL PARK,2178,-33.87478,150.838225,2,769,mid-age,49
CHATSWOOD,2067,-33.795617,151.185329,2,24900,adult,29
CHATSWOOD WEST,2067,-33.796332,151.16714199999998,2,1492,mid-age,49
CHELTENHAM,2119,-33.76169,151.079364,9,2249,mid-age,49
CHERRYBROOK,2126,-33.722019,151.041806,6,18764,mid-age,49
CHESTER HILL,2162,-33.883157000000004,151.00118500000002,5,12823,adult,29
CHIFLEY,2036,-33.976546,151.240248,12,3225,mid-age,49
CHIPPENDALE,2008,-33.886844,151.20171499999998,4,8615,adult,29
CHIPPING NORTON,2170,-33.916829,150.96166200000002,22,8988,adult,29
CHISWICK,2046,-33.851437,151.135954,14,2927,adult,29
CHULLORA,2190,-33.892441,151.05589799999998,3,23212,young,9
CHURCH POINT,2105,-33.644873,151.284352,0,983,senior+,69
CLAREMONT MEADOWS,2747,-33.770438,150.752791,50,4782,adult,29
CLARENDON,2756,-33.614736,150.78198,12,110,mid-age,49
CLAREVILLE,2107,-33.634904999999996,151.313321,6,753,senior+,69
CLAYMORE,2559,-34.045524,150.810024,0,2651,young,9
CLEMTON PARK,2206,-33.925357,151.103282,6,1655,senior+,69
CLONTARF,2093,-33.808238,151.25509499999998,12,1742,mid-age,49
CLOVELLY,2031,-33.912639,151.262021,28,4752,adult,29
CLYDE,2142,-33.832322,151.01941399999998,7,3,adult,29
COASTERS RETREAT,2108,-33.6048,151.29883,1,43,senior+,69
COBBITTY,2570,-34.015874,150.69102900000001,16,2062,mid-age,49
COLEBEE,2761,-33.730647,150.86604599999998,15,1928,adult,29
COLLAROY,2097,-33.740969,151.303133,13,7860,adult,29
COLYTON,2760,-33.776657,150.79343300000002,11,8445,adult,29
COMO,2226,-34.004186,151.068288,2,3984,mid-age,49
CONCORD,2137,-33.857857,151.103502,10,14531,mid-age,49
CONCORD WEST,2138,-33.848040999999995,151.087326,4,5910,mid-age,49
CONDELL PARK,2200,-33.922034000000004,151.011619,13,11564,adult,29
CONNELLS POINT,2221,-33.991871,151.089495,2,2816,mid-age,49
COOGEE,2034,-33.920491,151.254401,9,15219,adult,29
CORNWALLIS,2756,-33.592375,150.81221599999998,12,51,mid-age,49
COTTAGE POINT,2084,-33.619578000000004,151.203831,3,105,senior+,69
COWAN,2081,-33.589490999999995,151.17101499999998,2,647,mid-age,49
CRANEBROOK,2749,-33.71431,150.70998600000001,10,15758,adult,29
CREMORNE,2090,-33.828131,151.230233,17,11229,adult,29
CREMORNE POINT,2090,-33.84447,151.228231,17,2409,mid-age,49
CROMER,2099,-33.740353000000006,151.278523,20,7584,mid-age,49
CRONULLA,2230,-34.051972,151.153662,25,18083,adult,29
CROWS NEST,2065,-33.82609,151.19919199999998,22,4802,adult,29
CROYDON,2132,-33.883163,151.114771,3,10608,mid-age,49
CROYDON PARK,2133,-33.895299,151.10858100000002,0,11017,mid-age,49
CUMBERLAND REACH,2756,-33.455858,150.896276,12,182,mid-age,49
CURL CURL,2096,-33.768937,151.294035,14,2419,mid-age,49
CURRANS HILL,2567,-34.045179,150.764007,19,5291,adult,29
CURRAWONG BEACH,2108,-33.597338,151.29836699999998,1,40,senior+,69
DACEYVILLE,2032,-33.928043,151.22513,7,1204,senior+,69
DANGAR ISLAND,2083,-33.539357,151.24176200000002,0,310,mid-age,49
DARLING POINT,2027,-33.873808000000004,151.236683,7,4192,senior+,69
DARLINGHURST,2010,-33.879825,151.21956,30,11322,adult,29
DARLINGTON,2008,-33.891348,151.191243,4,3092,adult,29
DARLINGTON,2330,-32.558283,151.159556,3,374,adult,29
DAVIDSON,2085,-33.738731,151.194197,4,2841,mid-age,49
DAWES POINT,2000,-33.855601,151.20821999999998,18,359,mid-age,49
DEAN PARK,2761,-33.73616,150.860027,15,3226,adult,29
DEE WHY,2099,-33.753451,151.28554,20,21518,adult,29
DENHAM COURT,2565,-33.990080999999996,150.844653,3,1982,adult,29
DENISTONE,2114,-33.799440999999995,151.07959,12,3750,mid-age,49
DENISTONE EAST,2112,-33.797177000000005,151.097546,11,2246,mid-age,49
DENISTONE WEST,2114,-33.802382,151.06608500000002,12,935,mid-age,49
DHARRUK,2770,-33.743232,150.816642,12,2765,adult,29
DOLANS BAY,2229,-34.05968,151.126746,15,602,mid-age,49
DOLLS POINT,2219,-33.993495,151.146801,7,1658,mid-age,49
DOONSIDE,2767,-33.765071,150.86928999999998,11,13461,adult,29
DOUBLE BAY,2028,-33.879059999999996,151.24309499999998,3,4636,adult,29
DOVER HEIGHTS,2030,-33.874404999999996,151.280416,19,3799,mid-age,49
DRUMMOYNE,2047,-33.851056,151.154542,3,11941,adult,29
DUFFYS FOREST,2084,-33.676775,151.199879,3,474,mid-age,49
DULWICH HILL,2203,-33.904689000000005,151.138774,4,13712,adult,29
DUNDAS,2117,-33.799405,151.044189,6,4729,adult,29
DUNDAS VALLEY,2117,-33.787240000000004,151.06118500000002,6,5402,adult,29
DURAL,2158,-33.681875,151.028435,3,7560,mid-age,49
EAGLE VALE,2558,-34.037882,150.814153,5,5794,adult,29
EARLWOOD,2206,-33.92651,151.12648000000002,6,17744,mid-age,49
EAST HILLS,2213,-33.963359000000004,150.986695,6,3205,mid-age,49
EAST KILLARA,2071,-33.753498,151.170003,4,2979,mid-age,49
EAST KURRAJONG,2758,-33.514480999999996,150.764601,4,2202,mid-age,49
EAST LINDFIELD,2070,-33.766415,151.186095,10,3731,mid-age,49
EAST RYDE,2113,-33.813769,151.140289,22,2440,mid-age,49
EASTERN CREEK,2766,-33.803114,150.852192,7,824,adult,29
EASTGARDENS,2036,-33.946042999999996,151.223301,12,858,senior+,69
EASTLAKES,2018,-33.925133,151.213199,11,6922,adult,29
EASTWOOD,2122,-33.789986,151.08091399999998,25,17852,adult,29
EBENEZER,2756,-33.52466,150.881372,12,984,mid-age,49
EDENSOR PARK,2176,-33.877057,150.875292,18,9764,mid-age,49
EDGECLIFF,2027,-33.878586,151.235106,7,2576,adult,29
ELANORA HEIGHTS,2101,-33.695015000000005,151.280156,9,4353,mid-age,49
ELDERSLIE,2335,-32.591783,151.33250900000002,1,112,mid-age,49
ELDERSLIE,2570,-34.059038,150.71142700000001,16,6020,adult,29
ELIZABETH BAY,2011,-33.872828999999996,151.22659299999998,30,5218,adult,29
ELLIS LANE,2570,-34.040061,150.672006,16,837,mid-age,49
ELVINA BAY,2105,-33.642011,151.27610900000002,0,79,mid-age,49
EMERTON,2770,-33.742855,150.80826299999998,12,2251,adult,29
EMU HEIGHTS,2750,-33.735636,150.650321,27,3282,mid-age,49
EMU PLAINS,2750,-33.754096999999994,150.653269,27,8411,senior+,69
ENFIELD,2136,-33.886854,151.092425,0,2825,adult,29
ENGADINE,2233,-34.065715999999995,151.01266299999997,13,17373,mid-age,49
ENGLORIE PARK,2560,-34.082052000000004,150.795131,19,417,adult,29
ENMORE,2042,-33.899361999999996,151.171098,9,3886,adult,29
ENMORE,2350,-30.721541,151.731619,4,51,senior+,69
ENMORE,2042,-30.721541,151.731619,1,3880,adult,29
EPPING,2121,-33.772549,151.08236499999998,4,23692,adult,29
ERMINGTON,2115,-33.814144,151.054495,4,10735,adult,29
ERSKINE PARK,2759,-33.807618,150.789313,10,6443,mid-age,49
ERSKINEVILLE,2043,-33.902234,151.186192,6,8001,adult,29
ESCHOL PARK,2558,-34.031357,150.80968000000001,5,2565,adult,29
EVELEIGH,2015,-33.897075,151.19113000000002,11,667,adult,29
FAIRFIELD,2165,-33.868528999999995,150.955512,4,18078,adult,29
FAIRFIELD EAST,2165,-33.869448999999996,150.977528,4,5273,adult,29
FAIRFIELD HEIGHTS,2165,-33.864603,150.93845100000001,4,7524,adult,29
FAIRFIELD WEST,2165,-33.868955,150.922057,4,11561,adult,29
FAIRLIGHT,2094,-33.794163,151.273978,6,5839,adult,29
FIDDLETOWN,2159,-33.602321,151.055702,3,241,mid-age,49
FIVE DOCK,2046,-33.866368,151.13013600000002,14,9362,mid-age,49
FOREST GLEN,2157,-33.549519000000004,151.012846,0,69,senior+,69
FOREST LODGE,2037,-33.881215000000005,151.181127,4,4584,adult,29
FORESTVILLE,2087,-33.762011,151.21406000000002,6,8323,mid-age,49
FREEMANS REACH,2756,-33.545429,150.794878,12,1969,mid-age,49
FRENCHS FOREST,2086,-33.750964,151.22603600000002,6,13481,mid-age,49
GALSTON,2159,-33.652661,151.043059,3,3143,mid-age,49
GEORGES HALL,2198,-33.912851,150.98246899999998,2,9041,adult,29
GILEAD,2560,-34.107034999999996,150.76181499999998,19,413,senior+,69
GIRRAWEEN,2145,-33.799843,150.947276,42,5577,adult,29
GLADESVILLE,2111,-33.832894,151.126964,12,11825,mid-age,49
GLEBE,2037,-33.880815000000005,151.187791,4,11537,adult,29
GLEN ALPINE,2560,-34.084184,150.775275,19,4566,mid-age,49
GLENDENNING,2761,-33.739075,150.855174,15,5135,adult,29
GLENFIELD,2167,-33.971305,150.89451699999998,0,9639,adult,29
GLENHAVEN,2156,-33.703218,151.006899,3,6501,senior+,69
GLENMORE PARK,2745,-33.790683,150.6693,13,23005,adult,29
GLENORIE,2157,-33.620011,151.02303500000002,0,3497,mid-age,49
GLENWOOD,2768,-33.737863,150.922732,3,16135,mid-age,49
GLOSSODIA,2756,-33.535657,150.765856,12,2815,adult,29
GORDON,2072,-33.757349,151.155678,7,7679,mid-age,49
GRANVILLE,2142,-33.835887,151.01064,7,15332,adult,29
GRASMERE,2570,-34.056293,150.67317,16,1981,senior+,69
GRAYS POINT,2232,-34.058840000000004,151.081652,18,3113,mid-age,49
GREAT MACKEREL BEACH,2108,-33.591729,151.300451,1,36,senior+,69
GREEN VALLEY,2168,-33.903526,150.86636000000001,13,12518,mid-age,49
GREENACRE,2190,-33.906744,151.057271,3,24372,adult,29
GREENDALE,2550,-36.600111,149.852112,1,66,mid-age,49
GREENDALE,2745,-33.904792,150.646795,13,354,mid-age,49
GREENFIELD PARK,2176,-33.872187,150.889408,18,5100,mid-age,49
GREENWICH,2065,-33.831958,151.186129,22,5618,adult,29
GREYSTANES,2145,-33.829667,150.951452,42,22796,adult,29
GROSE VALE,2753,-33.584089,150.672944,5,1270,mid-age,49
GROSE WOLD,2753,-33.602392,150.688628,5,633,mid-age,49
GUILDFORD,2161,-33.853984000000004,150.985958,8,22342,adult,29
GUILDFORD WEST,2161,-33.851099,150.972299,8,4919,adult,29
GYMEA,2227,-34.033142,151.085421,6,7577,mid-age,49
GYMEA BAY,2227,-34.048156,151.08608700000002,6,6878,mid-age,49
HABERFIELD,2045,-33.880496,151.138839,1,6469,mid-age,49
HAMMONDVILLE,2170,-33.948113,150.95372700000001,22,3487,senior+,69
HARRINGTON PARK,2567,-34.023239000000004,150.742232,19,10653,mid-age,49
HARRIS PARK,2150,-33.822427000000005,151.008961,5,5797,adult,29
HASSALL GROVE,2761,-33.733813,150.83427700000001,15,4510,mid-age,49
HAYMARKET,2000,-33.880777,151.202796,18,7341,adult,29
HEATHCOTE,2233,-34.079112,151.00861899999998,13,5998,mid-age,49
HEBERSHAM,2770,-33.743503999999994,150.82268200000001,12,5686,adult,29
HECKENBERG,2168,-33.911083000000005,150.889921,13,3082,adult,29
HENLEY,2111,-33.842216,151.135943,12,470,mid-age,49
HILLSDALE,2036,-33.952684999999995,151.231341,12,5494,adult,29
HINCHINBROOK,2168,-33.916610999999996,150.86386299999998,13,11203,mid-age,49
HOBARTVILLE,2753,-33.601557,150.735673,5,2761,adult,29
HOLROYD,2142,-33.829836,150.993334,7,1284,adult,29
HOLSWORTHY,2173,-33.950403,150.949972,1,5481,adult,29
HOMEBUSH,2140,-33.859654,151.081847,5,6991,adult,29
HOMEBUSH WEST,2140,-33.866788,151.069369,5,8607,adult,29
HORNINGSEA PARK,2171,-33.945088,150.842975,12,3733,mid-age,49
HORNSBY,2077,-33.704747999999995,151.098696,22,22173,adult,29
HORNSBY HEIGHTS,2077,-33.670086,151.095503,22,6290,mid-age,49
HORSLEY PARK,2175,-33.845034000000005,150.84819199999998,0,1861,mid-age,49
HOXTON PARK,2171,-33.92678,150.857888,12,4354,adult,29
HUNTERS HILL,2110,-33.83484,151.15419599999998,10,9525,mid-age,49
HUNTINGWOOD,2148,-33.797537,150.879863,34,15,senior+,69
HUNTLEYS COVE,2111,-33.839797999999995,151.144587,12,745,senior+,69
HUNTLEYS POINT,2111,-33.840088,151.14596799999998,12,138,mid-age,49
HURLSTONE PARK,2193,-33.909964,151.13224,10,4682,mid-age,49
HURSTVILLE,2220,-33.965923,151.10118400000002,9,29829,adult,29
HURSTVILLE GROVE,2220,-33.980653000000004,151.091136,9,2678,mid-age,49
ILLAWONG,2234,-33.998018,151.042591,20,7262,mid-age,49
INGLEBURN,2565,-33.998718,150.866344,3,15046,adult,29
INGLESIDE,2101,-33.683176,151.26232199999998,9,986,mid-age,49
JAMISONTOWN,2750,-33.766193,150.67951000000002,27,5480,adult,29
KANGAROO POINT,2224,-33.997972,151.096235,7,549,mid-age,49
KAREELA,2232,-34.014668,151.08273300000002,18,3456,senior+,69
KEARNS,2558,-34.021321,150.803211,5,2756,mid-age,49
KELLYVILLE,2155,-33.712415,150.958009,25,27976,mid-age,49
KELLYVILLE RIDGE,2155,-33.700103999999996,150.92865,25,10471,adult,29
KEMPS CREEK,2178,-33.88013,150.79048500000002,2,2274,mid-age,49
KENSINGTON,2033,-33.912997,151.21901699999998,8,14985,adult,29
KENTHURST,2156,-33.661023,151.005034,3,5035,mid-age,49
KENTLYN,2560,-34.073171,150.85743,19,746,senior+,69
KILLARA,2071,-33.766376,151.162047,4,10573,mid-age,49
KILLARNEY HEIGHTS,2087,-33.773728000000006,151.216125,6,4477,mid-age,49
KINGS LANGLEY,2147,-33.742079,150.92271100000002,12,9365,mid-age,49
KINGS PARK,2148,-33.745736,150.904598,34,3456,adult,29
KINGSFORD,2032,-33.924921999999995,151.227811,7,15481,adult,29
KINGSGROVE,2208,-33.939481,151.098941,2,12449,mid-age,49
KINGSWOOD,2340,-31.165879999999998,150.91944099999998,12,1042,mid-age,49
KINGSWOOD,2550,-36.738556,149.81742,1,6,mid-age,49
KINGSWOOD,2747,-33.759966999999996,150.72046,50,9297,adult,29
KIRKHAM,2570,-34.038536,150.71674,16,701,mid-age,49
KIRRAWEE,2232,-34.033743,151.071196,18,9286,senior+,69
KIRRIBILLI,2061,-33.846275,151.212705,3,3826,adult,29
KOGARAH,2217,-33.963107,151.133462,10,15126,adult,29
KOGARAH BAY,2217,-33.979116999999995,151.12329599999998,10,2018,mid-age,49
KURMOND,2757,-33.549452,150.70111599999998,1,859,mid-age,49
KURNELL,2231,-34.008487,151.204879,1,2271,mid-age,49
KURRAJONG,2758,-33.546749,150.660686,4,3062,mid-age,49
KURRAJONG HILLS,2758,-33.541464000000005,150.639331,4,663,mid-age,49
KYEEMAGH,2216,-33.951452,151.159943,13,907,senior+,69
KYLE BAY,2221,-33.991238,151.098301,2,1041,mid-age,49
LA PEROUSE,2036,-33.989634,151.231507,12,407,mid-age,49
LAKEMBA,2195,-33.920457,151.075921,5,17031,adult,29
LALOR PARK,2147,-33.761339,150.930337,12,7662,adult,29
LANE COVE,2066,-33.814599,151.168722,16,10817,adult,29
LANE COVE NORTH,2066,-33.807556,151.17091200000002,16,11442,adult,29
LANE COVE WEST,2066,-33.806246,151.153281,16,2625,mid-age,49
LANSDOWNE,2163,-33.893687,150.971005,7,14,adult,29
LANSDOWNE,2430,-31.782989,152.534579,16,596,senior+,69
LANSVALE,2166,-33.89733,150.952786,4,2554,mid-age,49
LAUGHTONDALE,2775,-33.410229,151.02459199999998,0,81,mid-age,49
LAVENDER BAY,2060,-33.843070000000004,151.208015,11,956,adult,29
LEETS VALE,2775,-33.427708,150.948095,0,57,senior+,69
LEICHHARDT,2040,-33.883793,151.157057,11,14625,adult,29
LEONAY,2750,-33.759156,150.65231799999998,27,2503,mid-age,49
LEPPINGTON,2179,-33.964333,150.81727,1,3501,adult,29
LETHBRIDGE PARK,2770,-33.736938,150.799824,12,4730,adult,29
LEUMEAH,2560,-34.052285,150.833396,19,9826,adult,29
LEWISHAM,2049,-33.894902,151.144413,4,3161,adult,29
LIBERTY GROVE,2138,-33.841665,151.083609,4,2254,adult,29
LIDCOMBE,2141,-33.865218,151.043519,7,19620,adult,29
LILLI PILLI,2229,-34.069835999999995,151.114032,15,1378,mid-age,49
LILLI PILLI,2536,-35.773317,150.225056,5,618,senior+,69
LILYFIELD,2040,-33.872991,151.165788,11,7611,mid-age,49
LINDFIELD,2070,-33.776441,151.16873600000002,10,9774,mid-age,49
LINLEY POINT,2066,-33.826777,151.148251,16,352,mid-age,49
LITTLE BAY,2036,-33.981177,151.24320600000001,12,4474,adult,29
LIVERPOOL,2170,-33.92505,150.924429,22,27107,adult,29
LLANDILO,2747,-33.708904,150.756773,50,1640,mid-age,49
LOFTUS,2232,-34.048075,151.051176,18,4135,mid-age,49
LONDONDERRY,2753,-33.645188,150.73698000000002,5,3896,mid-age,49
LONG POINT,2330,-32.568903000000006,151.109612,3,35,mid-age,49
LONG POINT,2564,-34.016436999999996,150.898579,5,188,senior+,69
LONG POINT,2564,-34.011944,150.896944,11,193,adult,29
LONGUEVILLE,2066,-33.833096000000005,151.16534199999998,16,2082,mid-age,49
LOVETT BAY,2105,-33.637405,151.27842900000002,0,141,mid-age,49
LOWER PORTLAND,2756,-33.451409000000005,150.865871,12,586,mid-age,49
LUCAS HEIGHTS,2234,-34.047985,150.988369,20,10529,senior+,69
