suburb,postcode,population,age
abbotsbury,2176,4242,40 to 59
abbotsford,2046,5366,40 to 59
acacia-gardens,2763,3786,20 to 39
agnes-banks,2753,919,40 to 59
airds,2560,2939,5 to 19
alexandria,2015,8266,20 to 39
alfords-point,2234,3093,40 to 59
allambie-heights,2100,7001,40 to 59
allawah,2218,5729,20 to 39
ambarvale,2560,7358,20 to 39
annandale,2038,9459,20 to 39
annangrove,2156,1403,40 to 59
arcadia,2159,1373,40 to 59
arncliffe,2205,10593,20 to 39
arndell-park,2148,30,20 to 39
artarmon,2064,9527,20 to 39
ashbury,2193,3343,40 to 59
ashcroft,2168,3584,20 to 39
ashfield,2131,23832,20 to 39
asquith,2077,3366,40 to 59
auburn,2144,37373,20 to 39
austral,2179,3033,60+
avalon-beach,2107,9906,40 to 59
badgerys-creek,2555,233,20 to 39
balgowlah,2093,7980,40 to 59
balgowlah-heights,2093,3350,40 to 59
balmain,2041,10456,40 to 59
balmain-east,2041,1934,40 to 59
bangor,2234,5575,40 to 59
banksia,2216,3380,20 to 39
banksmeadow,2019,18,60+
bankstown,2200,32116,20 to 39
bankstown-aerodrome,2200,32116,20 to 39
barden-ridge,2234,4312,40 to 59
bardwell-park,2207,2241,40 to 59
bardwell-valley,2207,2328,40 to 59
bass-hill,2197,9071,20 to 39
baulkham-hills,2153,37045,40 to 59
bayview,2104,3624,60+
beacon-hill,2100,7451,40 to 59
beaconsfield,2015,978,20 to 39
beaumont-hills,2155,9052,40 to 59
beecroft,2119,9392,40 to 59
belfield,2191,6318,40 to 59
bella-vista,2153,7823,40 to 59
bellevue-hill,2023,10709,20 to 39
belmore,2192,12720,20 to 39
belrose,2085,8781,60+
berala,2141,9026,20 to 39
berkshire-park,2765,2138,20 to 39
berowra,2081,4727,40 to 59
berowra-heights,2082,5272,40 to 59
berowra-waters,2082,135,60+
berrilee,2159,236,40 to 59
beverley-park,2217,2392,40 to 59
beverly-hills,2209,10167,20 to 39
bexley,2207,19722,20 to 39
bexley-north,2207,4096,40 to 59
bickley-vale,2570,NA,NA
bidwill,2770,4281,5 to 19
birchgrove,2041,3302,40 to 59
birrong,2143,3109,20 to 39
blackett,2770,3452,20 to 39
blacktown,2148,47175,20 to 39
blair athol,2560,2886,20 to 39
blairmount,2559,422,20 to 39
blakehurst,2221,6213,40 to 59
bligh-park,2756,6362,20 to 39
bondi,2026,10043,20 to 39
bondi-beach,2026,11659,20 to 39
bondi-junction,2022,9464,20 to 39
bonnet-bay,2226,2266,40 to 59
bonnyrigg,2177,8670,20 to 39
bonnyrigg-heights,2177,7310,40 to 59
bossley-park,2176,14594,40 to 59
botany,2019,10823,20 to 39
bow-bowing,2566,1590,40 to 59
box-hill,2765,905,60+
bradbury,2560,8798,20 to 39
breakfast-point,2137,4208,20 to 39
bringelly,2556,2511,40 to 59
bronte,2024,6718,20 to 39
brooklyn,2083,715,40 to 59
