population,age
4242,40 to 59
5366,40 to 59
3786,20 to 39
919,40 to 59
2939,5 to 19
8266,20 to 39
3093,40 to 59
7001,40 to 59
5729,20 to 39
7358,20 to 39
9459,20 to 39
1403,40 to 59
1373,40 to 59
10593,20 to 39
30,20 to 39
9527,20 to 39
3343,40 to 59
3584,20 to 39
23832,20 to 39
3366,40 to 59
37373,20 to 39
3033,60+
9906,40 to 59
233,20 to 39
7980,40 to 59
3350,40 to 59
10456,40 to 59
1934,40 to 59
5575,40 to 59
3380,20 to 39
18,60+
32116,20 to 39
32116,20 to 39
4312,40 to 59
2241,40 to 59
2328,40 to 59
9071,20 to 39
37045,40 to 59
3624,60+
7451,40 to 59
978,20 to 39
9052,40 to 59
9392,40 to 59
6318,40 to 59
7823,40 to 59
10709,20 to 39
12720,20 to 39
8781,60+
9026,20 to 39
2138,20 to 39
4727,40 to 59
5272,40 to 59
135,60+
236,40 to 59
2392,40 to 59
10167,20 to 39
19722,20 to 39
4096,40 to 59
,
4281,5 to 19
3302,40 to 59
3109,20 to 39
3452,20 to 39
47175,20 to 39
2886,20 to 39
422,20 to 39
6213,40 to 59
6362,20 to 39
10043,20 to 39
11659,20 to 39
9464,20 to 39
2266,40 to 59
8670,20 to 39
7310,40 to 59
14594,40 to 59
10823,20 to 39
1590,40 to 59
905,60+
8798,20 to 39
4208,20 to 39
2511,40 to 59
6718,20 to 39
715,40 to 59
3176,20 to 39
1918,40 to 59
,
16011,20 to 39
989,20 to 39
4306,20 to 39
1973,60+
21803,20 to 39
7237,40 to 59
2029,20 to 39
6716,20 to 39
3221,60+
4524,20 to 39
,60+
7017,20 to 39
12561,20 to 39
10352,20 to 39
24539,20 to 39
1255,40 to 59
10971,40 to 59
10214,20 to 39
179,40 to 59
7240,20 to 39
11672,20 to 39
24401,40 to 59
10731,20 to 39
3547,20 to 39
1259,40 to 59
2386,40 to 59
2552,40 to 59
39610,40 to 59
2944,40 to 59
1164,40 to 59
15667,20 to 39
