suburb,postcode,lat,lon,total_patient,population,age,AM,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
ABBOTSBURY,2176,-33.877538,150.86776799999998,18,4242,mid-age,49,1.0,Spa,Cosmetics Shop,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
ABBOTSFORD,2046,-33.852469,151.129453,14,5366,mid-age,49,3.0,Pizza Place,Café,Thai Restaurant,Construction & Landscaping,Hobby Shop,Liquor Store,Burger Joint,Grocery Store,Italian Restaurant,Park
ACACIA GARDENS,2763,-33.730077,150.906502,17,3786,adult,29,0.0,Fast Food Restaurant,Pizza Place,Snack Place,Gas Station,Pet Store,Sandwich Place,Shopping Mall,Grocery Store,Thai Restaurant,Gym
AGNES BANKS,2753,-33.618877000000005,150.707372,5,919,mid-age,49,1.0,Rental Car Location,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
AIRDS,2560,-34.084468,150.829041,19,2939,young,9,0.0,Grocery Store,Pub,Gas Station,Shopping Mall,Yoga Studio,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
ALEXANDRIA,2015,-33.897571,151.19556699999998,11,8266,adult,29,3.0,Pub,Café,Bakery,Thai Restaurant,Italian Restaurant,Office,Park,Tennis Court,Breakfast Spot,Grocery Store
ALFORDS POINT,2234,-33.993303000000004,151.024751,20,3093,mid-age,49,1.0,Playground,Flea Market,Shopping Mall,Burger Joint,Flower Shop,Food,Electronics Store,Event Service,Event Space,Falafel Restaurant
ALLAMBIE HEIGHTS,2100,-33.765076,151.248864,11,7001,mid-age,49,3.0,Café,Bakery,Grocery Store,Liquor Store,Park,Fast Food Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
ALLAWAH,2218,-33.970017999999996,151.114517,12,5729,adult,29,0.0,Food Truck,Thai Restaurant,Pub,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
AMBARVALE,2560,-34.080467,150.803644,19,7358,adult,29,1.0,Soccer Field,Trail,Bus Stop,Clothing Store,Park,Yoga Studio,Fast Food Restaurant,Electronics Store,Event Service,Event Space
ANNANDALE,2038,-33.881434999999996,151.170681,4,9459,adult,29,3.0,Café,Park,Grocery Store,Garden Center,Playground,Asian Restaurant,Bar,Pizza Place,Snack Place,Italian Restaurant
ANNANGROVE,2156,-33.657771999999994,150.94350500000002,3,1403,mid-age,49,1.0,Indian Restaurant,Racetrack,Yoga Studio,Field,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
ARCADIA,2159,-33.623101,151.052726,3,1373,mid-age,49,0.0,Art Gallery,Gym,Yoga Studio,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
ARNCLIFFE,2205,-33.936592,151.146805,8,10593,adult,29,1.0,Park,Paper / Office Supplies Store,Thai Restaurant,Bakery,Café,Grocery Store,Gym,Outlet Store,Lebanese Restaurant,Hotel
ARNDELL PARK,2148,-33.787265999999995,150.871959,34,30,adult,29,1.0,Playground,Dog Run,Furniture / Home Store,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
ARTARMON,2064,-33.807664,151.189662,5,9527,adult,29,3.0,Café,Park,Ramen Restaurant,BBQ Joint,Sandwich Place,Japanese Restaurant,Thai Restaurant,Convenience Store,Plaza,Fish & Chips Shop
ASHBURY,2193,-33.901897,151.11932,10,3343,mid-age,49,1.0,Playground,Seafood Restaurant,Racecourse,Market,Fast Food Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
ASHCROFT,2168,-33.917587,150.899095,13,3584,adult,29,,,,,,,,,,,
ASHFIELD,2131,-33.889497999999996,151.127444,13,23832,adult,29,0.0,Supermarket,Dumpling Restaurant,Electronics Store,Platform,Shanghai Restaurant,Café,Chinese Restaurant,Japanese Restaurant,Asian Restaurant,Restaurant
ASQUITH,2077,-33.687484000000005,151.108685,22,3366,mid-age,49,0.0,Supermarket,Hobby Shop,Train Station,Gas Station,Fast Food Restaurant,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant
AUBURN,2144,-33.849321999999994,151.033421,6,37373,adult,29,0.0,Café,Grocery Store,Supermarket,Gym,Kebab Restaurant,Fast Food Restaurant,Turkish Restaurant,Pakistani Restaurant,Thai Restaurant,Dessert Shop
AUSTRAL,2179,-33.933109,150.81203100000002,1,3033,senior+,69,0.0,Shopping Mall,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
AVALON BEACH,2107,-33.636325,151.33059599999999,6,9906,mid-age,49,3.0,Café,Tea Room,Grocery Store,French Restaurant,Restaurant,Beach,Sandwich Place,Bakery,Yoga Studio,Farm
BADGERYS CREEK,2555,-33.883376,150.741351,0,233,adult,29,,,,,,,,,,,
BALGOWLAH,2093,-33.794121000000004,151.26268000000002,12,7980,mid-age,49,3.0,Café,Japanese Restaurant,Bakery,Shopping Mall,Liquor Store,Indian Restaurant,Coffee Shop,Gym,Supermarket,Park
BALGOWLAH HEIGHTS,2093,-33.800553,151.257401,12,3350,mid-age,49,1.0,Dog Run,Grocery Store,Restaurant,Trail,Park,Dumpling Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
BALMAIN,2041,-33.856497999999995,151.178009,9,10456,mid-age,49,3.0,Café,Pub,Sushi Restaurant,Thai Restaurant,Pizza Place,Indian Restaurant,Park,Bar,Tapas Restaurant,Italian Restaurant
BALMAIN EAST,2041,-33.857833,151.190598,9,1934,mid-age,49,3.0,Café,Bowling Green,Italian Restaurant,Gastropub,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
BANGOR,2234,-34.018876,151.030057,20,5575,mid-age,49,0.0,Burger Joint,Bakery,Pub,Shopping Mall,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
BANKSIA,2216,-33.945237,151.140161,13,3380,adult,29,0.0,Platform,Pub,Bistro,Sporting Goods Shop,Outdoor Supply Store,Gym,Fast Food Restaurant,Train Station,Arts & Crafts Store,Pastry Shop
BANKSMEADOW,2019,-33.95742,151.206715,6,18,senior+,69,3.0,Café,Bakery,Golf Course,Sandwich Place,Park,Yoga Studio,Farmers Market,Event Service,Event Space,Falafel Restaurant
BANKSTOWN,2200,-33.919539,151.034909,13,32116,adult,29,0.0,Vietnamese Restaurant,Café,Chinese Restaurant,Middle Eastern Restaurant,Convenience Store,Sports Bar,Steakhouse,Bakery,Bar,Buffet
BANKSTOWN AERODROME,2200,-33.920032,150.995041,13,32116,adult,29,3.0,Miscellaneous Shop,Airport,Café,Australian Restaurant,Yoga Studio,Film Studio,Event Space,Falafel Restaurant,Farm,Farmers Market
BARDEN RIDGE,2234,-34.032851,151.005396,20,4312,mid-age,49,2.0,Italian Restaurant,Park,Yoga Studio,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
BARDWELL PARK,2207,-33.93207,151.125594,10,2241,mid-age,49,3.0,Bar,Gym,Café,Train Station,Park,Yoga Studio,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant
BARDWELL VALLEY,2207,-33.935083,151.13468600000002,10,2328,mid-age,49,2.0,Playground,Miscellaneous Shop,Park,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
BASS HILL,2197,-33.900608,150.992888,4,9071,adult,29,0.0,Fast Food Restaurant,Supermarket,Grocery Store,Gym,Shopping Mall,Big Box Store,Department Store,Field,Event Service,Event Space
BAULKHAM HILLS,2153,-33.758601,150.99288700000002,15,37045,mid-age,49,0.0,Café,Pizza Place,Supermarket,Food Court,Italian Restaurant,Bakery,Dumpling Restaurant,Donut Shop,Gym,Seafood Restaurant
BAYVIEW,2104,-33.66445,151.298945,2,3624,senior+,69,2.0,Park,Boat or Ferry,Café,Dog Run,Yoga Studio,Filipino Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market
BEACON HILL,2100,-33.752406,151.261272,11,7451,mid-age,49,0.0,Scenic Lookout,Home Service,Fast Food Restaurant,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
BEACONSFIELD,2015,-33.911613,151.20189,11,978,adult,29,0.0,Coffee Shop,Italian Restaurant,Café,Sporting Goods Shop,Car Wash,Thai Restaurant,Liquor Store,Sandwich Place,Grocery Store,Furniture / Home Store
BEAUMONT HILLS,2155,-33.703416,150.946875,25,9052,mid-age,49,2.0,Park,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
BEECROFT,2119,-33.749497999999996,151.064533,9,9392,mid-age,49,3.0,Café,Park,Liquor Store,Shopping Mall,Fast Food Restaurant,Chinese Restaurant,Supermarket,Italian Restaurant,Field,Event Space
