Suburb,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
ABBOTSBURY,-33.877538,150.86776799999998,Synergy Health & Wellbeing,-33.878164,150.871421,Spa
ABBOTSFORD,-33.852469,151.129453,The Cove Dining Co,-33.85093349750487,151.12901507835977,Café
ABBOTSFORD,-33.852469,151.129453,The Cove Dining Co,-33.85095,151.12911,Café
ABBOTSFORD,-33.852469,151.129453,Orchid Thai,-33.85639820441917,151.13068402575172,Thai Restaurant
ABBOTSFORD,-33.852469,151.129453,IGA Abbotsford,-33.85604205544277,151.13061687463943,Grocery Store
ABBOTSFORD,-33.852469,151.129453,Dolcetti,-33.85665406578456,151.13078468443211,Italian Restaurant
ABBOTSFORD,-33.852469,151.129453,"Greenwest Pools, Spas & Landscapes",-33.8506,151.12760520000006,Construction & Landscaping
ABBOTSFORD,-33.852469,151.129453,Anime at Abbotsford,-33.85541,151.13065,Hobby Shop
ABBOTSFORD,-33.852469,151.129453,Doughboy Pizza,-33.855725586758076,151.13049753795806,Pizza Place
ABBOTSFORD,-33.852469,151.129453,Zest Charcoal Chicken,-33.85581,151.13086,Burger Joint
ABBOTSFORD,-33.852469,151.129453,Henry Lawson Park,-33.85034998485688,151.12589532464892,Park
ABBOTSFORD,-33.852469,151.129453,Vintage Cellars,-33.85601771404717,151.13071940332614,Liquor Store
ABBOTSFORD,-33.852469,151.129453,Sistina Ristorante & Pizzeria,-33.848149427380505,151.12830734541558,Pizza Place
ACACIA GARDENS,-33.730077,150.906502,Anytime Fitness,-33.72714710304984,150.90477415112616,Gym
ACACIA GARDENS,-33.730077,150.906502,Subway,-33.73023,150.90259,Sandwich Place
ACACIA GARDENS,-33.730077,150.906502,IGA Quakers Hill,-33.72693,150.90462,Grocery Store
ACACIA GARDENS,-33.730077,150.906502,BP,-33.72997,150.90237,Gas Station
ACACIA GARDENS,-33.730077,150.906502,Domino's Pizza,-33.72684496754525,150.90471013034073,Pizza Place
ACACIA GARDENS,-33.730077,150.906502,Vets@Acacia Gardens,-33.73029738260476,150.9067571870209,Pet Store
ACACIA GARDENS,-33.730077,150.906502,McDonald's,-33.72995859242933,150.9028545789197,Fast Food Restaurant
ACACIA GARDENS,-33.730077,150.906502,Eagle Boys Pizza,-33.73023,150.90259,Pizza Place
ACACIA GARDENS,-33.730077,150.906502,Caltex Star Mart,-33.72997,150.90237,Snack Place
ACACIA GARDENS,-33.730077,150.906502,Thai Spice,-33.72693,150.90462,Thai Restaurant
ACACIA GARDENS,-33.730077,150.906502,Quakers Hill Shopping Centre,-33.7269436624902,150.90458785919952,Shopping Mall
